downloaded,language,form,measure,age,word,proportion
2025-01-25,English (American),WS,produces,22,and,0.17
2025-01-25,English (American),WS,produces,23,and,0.32
2025-01-25,English (American),WS,produces,24,and,0.3
2025-01-25,English (American),WS,produces,25,and,0.36
2025-01-25,English (American),WS,produces,26,and,0.45
2025-01-25,English (American),WS,produces,27,and,0.49
2025-01-25,English (American),WS,produces,28,and,0.56
2025-01-25,English (American),WS,produces,29,and,0.66
2025-01-25,English (American),WS,produces,30,and,0.72
2025-01-25,English (American),WS,produces,16,any,0
2025-01-25,English (American),WS,produces,17,any,0.01
2025-01-25,English (American),WS,produces,18,any,0.01
2025-01-25,English (American),WS,produces,19,any,0.03
2025-01-25,English (American),WS,produces,20,any,0.03
2025-01-25,English (American),WS,produces,21,any,0.04
2025-01-25,English (American),WS,produces,22,any,0.05
2025-01-25,English (American),WS,produces,23,any,0.09
2025-01-25,English (American),WS,produces,24,any,0.12
2025-01-25,English (American),WS,produces,25,any,0.15
2025-01-25,English (American),WS,produces,26,any,0.21
2025-01-25,English (American),WS,produces,27,any,0.31
2025-01-25,English (American),WS,produces,28,any,0.28
2025-01-25,English (American),WS,produces,29,any,0.39
2025-01-25,English (American),WS,produces,30,any,0.45
2025-01-25,English (American),WS,produces,16,are,0
2025-01-25,English (American),WS,produces,17,are,0.01
2025-01-25,English (American),WS,produces,18,are,0.01
2025-01-25,English (American),WS,produces,19,are,0.02
2025-01-25,English (American),WS,produces,20,are,0.04
2025-01-25,English (American),WS,produces,21,are,0.04
2025-01-25,English (American),WS,produces,22,are,0.07
2025-01-25,English (American),WS,produces,23,are,0.1
2025-01-25,English (American),WS,produces,24,are,0.14
2025-01-25,English (American),WS,produces,25,are,0.16
2025-01-25,English (American),WS,produces,26,are,0.21
2025-01-25,English (American),WS,produces,27,are,0.27
2025-01-25,English (American),WS,produces,28,are,0.34
2025-01-25,English (American),WS,produces,29,are,0.4
2025-01-25,English (American),WS,produces,30,are,0.5
2025-01-25,English (American),WS,produces,16,at,0.02
2025-01-25,English (American),WS,produces,17,at,0.02
2025-01-25,English (American),WS,produces,18,at,0.03
2025-01-25,English (American),WS,produces,19,at,0.04
2025-01-25,English (American),WS,produces,20,at,0.07
2025-01-25,English (American),WS,produces,21,at,0.09
2025-01-25,English (American),WS,produces,22,at,0.13
2025-01-25,English (American),WS,produces,23,at,0.16
2025-01-25,English (American),WS,produces,24,at,0.2
2025-01-25,English (American),WS,produces,25,at,0.25
2025-01-25,English (American),WS,produces,26,at,0.33
2025-01-25,English (American),WS,produces,27,at,0.38
2025-01-25,English (American),WS,produces,28,at,0.37
2025-01-25,English (American),WS,produces,29,at,0.51
2025-01-25,English (American),WS,produces,30,at,0.52
2025-01-25,English (American),WS,produces,16,be,0
2025-01-25,English (American),WS,produces,17,be,0.02
2025-01-25,English (American),WS,produces,18,be,0.01
2025-01-25,English (American),WS,produces,19,be,0.04
2025-01-25,English (American),WS,produces,20,be,0.04
2025-01-25,English (American),WS,produces,21,be,0.06
2025-01-25,English (American),WS,produces,22,be,0.08
2025-01-25,English (American),WS,produces,23,be,0.13
2025-01-25,English (American),WS,produces,24,be,0.12
2025-01-25,English (American),WS,produces,25,be,0.17
2025-01-25,English (American),WS,produces,26,be,0.21
2025-01-25,English (American),WS,produces,27,be,0.24
2025-01-25,English (American),WS,produces,28,be,0.3
2025-01-25,English (American),WS,produces,29,be,0.39
2025-01-25,English (American),WS,produces,30,be,0.47
2025-01-25,English (American),WS,produces,16,before,0
2025-01-25,English (American),WS,produces,17,before,0
2025-01-25,English (American),WS,produces,18,before,0.01
2025-01-25,English (American),WS,produces,19,before,0.01
2025-01-25,English (American),WS,produces,20,before,0.01
2025-01-25,English (American),WS,produces,21,before,0.03
2025-01-25,English (American),WS,produces,22,before,0.05
2025-01-25,English (American),WS,produces,23,before,0.06
2025-01-25,English (American),WS,produces,24,before,0.08
2025-01-25,English (American),WS,produces,25,before,0.12
2025-01-25,English (American),WS,produces,26,before,0.15
2025-01-25,English (American),WS,produces,27,before,0.18
2025-01-25,English (American),WS,produces,28,before,0.19
2025-01-25,English (American),WS,produces,29,before,0.35
2025-01-25,English (American),WS,produces,30,before,0.41
2025-01-25,English (American),WS,produces,16,because,0
2025-01-25,English (American),WS,produces,17,because,0
2025-01-25,English (American),WS,produces,18,because,0
2025-01-25,English (American),WS,produces,19,because,0.03
2025-01-25,English (American),WS,produces,20,because,0.04
2025-01-25,English (American),WS,produces,21,because,0.03
2025-01-25,English (American),WS,produces,22,because,0.07
2025-01-25,English (American),WS,produces,23,because,0.1
2025-01-25,English (American),WS,produces,24,because,0.11
2025-01-25,English (American),WS,produces,25,because,0.14
2025-01-25,English (American),WS,produces,26,because,0.2
2025-01-25,English (American),WS,produces,27,because,0.27
2025-01-25,English (American),WS,produces,28,because,0.31
2025-01-25,English (American),WS,produces,29,because,0.39
2025-01-25,English (American),WS,produces,30,because,0.49
2025-01-25,English (American),WS,produces,16,but,0.01
2025-01-25,English (American),WS,produces,17,but,0.01
2025-01-25,English (American),WS,produces,18,but,0.01
2025-01-25,English (American),WS,produces,19,but,0.03
2025-01-25,English (American),WS,produces,20,but,0.03
2025-01-25,English (American),WS,produces,21,but,0.04
2025-01-25,English (American),WS,produces,22,but,0.07
2025-01-25,English (American),WS,produces,23,but,0.08
2025-01-25,English (American),WS,produces,24,but,0.07
2025-01-25,English (American),WS,produces,25,but,0.11
2025-01-25,English (American),WS,produces,26,but,0.14
2025-01-25,English (American),WS,produces,27,but,0.2
