"term","estimate","std.error","statistic","p.value","model"
"phoneme_length:syn_catdet-pro-dem",NA,NA,NA,NA,"multiplicative"
"phoneme_length:syn_catmod",-204439.99345563,33109.8983488957,-6.17458837539585,1.01861680455453e-05,"multiplicative"
"phoneme_length:syn_catneg",NA,NA,NA,NA,"multiplicative"
"phoneme_length:syn_catprep",951299.982687443,153949.697853,6.17929100189467,1.00933344892938e-05,"multiplicative"
"phoneme_length:syn_catprep-adv",-816618.43786949,135898.570792448,-6.00902888902837,1.40868497766577e-05,"multiplicative"
"phoneme_length:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"phoneme_length:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"phoneme_length:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"phoneme_length:syn_catpro-int-rel",-1184637.81590513,195324.712984641,-6.06496637216755,1.26201115219367e-05,"multiplicative"
"phoneme_length:syn_catqn",-2611675.07394567,421420.983411992,-6.19730667609503,9.74572096872605e-06,"multiplicative"
"phoneme_length:syn_catqn-adv",-681511.630992208,110341.039433244,-6.1764111929045,1.01500797028094e-05,"multiplicative"
"frequency:syn_catadj-adv",-287857307.807459,46431523.8803828,-6.19960931174775,9.70219363139976e-06,"multiplicative"
"frequency:syn_catadv",-3892340293.88724,625937433.973094,-6.21841750090083,9.35410929948233e-06,"multiplicative"
"frequency:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"frequency:syn_catconj",4669963334.85865,755642483.543859,6.18012279161062,1.007700570006e-05,"multiplicative"
"frequency:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
"frequency:syn_catconj-prep",726839120.444397,117632387.147231,6.17890309013854,1.01009589155935e-05,"multiplicative"
"frequency:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"frequency:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"frequency:syn_catdet",NA,NA,NA,NA,"multiplicative"
"frequency:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"frequency:syn_catdet-pro-dem",2416382.44973884,388745.146334872,6.21585239718293,9.40080984027124e-06,"multiplicative"
"frequency:syn_catmod",-91570665.6494985,14018340.2323102,-6.53220453577246,5.12085324869779e-06,"multiplicative"
"frequency:syn_catneg",NA,NA,NA,NA,"multiplicative"
"frequency:syn_catprep",370342062.918967,59881075.7315914,6.18462608419017,9.98907565654808e-06,"multiplicative"
"frequency:syn_catprep-adv",856036380.05864,139497315.90452,6.13657957866775,1.09697162215545e-05,"multiplicative"
"frequency:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"frequency:syn_catpro-indef",-4220343740.97917,683876903.907785,-6.17120378954668,1.02535292412245e-05,"multiplicative"
"frequency:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"frequency:syn_catpro-int-rel",127165417.646446,20968728.9185051,6.06452675985626,1.26310007319291e-05,"multiplicative"
"frequency:syn_catqn",2623676733.25117,425752704.579673,6.16244290413002,1.04300420121683e-05,"multiplicative"
"frequency:syn_catqn-adv",-93157527.0394001,15127830.4029659,-6.15802296548326,1.0520285243501e-05,"multiplicative"
"mean_utterance_length:syn_catadj-adv",-150453.290225946,24289.8348688953,-6.19408452292986,9.80696994686859e-06,"multiplicative"
